stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175978.687,40.086395,3045.158982,38400,1.000000,0.827942,0.002236
1757175978.687,40.086395,3045.158982,38400,1.000000,0.827942,0.002236
1757175978.787,42.305106,4106.058478,38400,1.000000,0.825710,0.002832
1757175978.887,41.439140,3361.603022,38400,1.000000,0.822599,0.002806
1757175978.987,40.664133,3102.168739,38400,1.000000,0.824708,0.002478
1757175979.087,46.771616,4525.755942,38400,1.000000,0.819378,0.002504
1757175979.187,45.092916,4379.384220,38400,1.000000,0.822588,0.002191
1757175979.287,53.559613,7572.015524,38400,1.000000,0.817870,0.002061
1757175979.387,57.682657,6513.191462,38400,1.000000,0.825639,0.001960
1757175979.487,80.915660,20044.021606,38400,1.000000,0.824804,0.002134
1757175979.587,95.002627,31730.325222,38400,1.000000,0.822371,0.002386
1757175979.687,91.467988,26924.123764,38400,1.000000,0.824028,0.002145
1757175979.787,85.223895,22826.194763,38400,1.000000,0.827029,0.002154
1757175979.887,37.314576,2739.681304,38400,1.000000,0.819584,0.002555
1757175979.987,53.351605,10307.389498,38400,1.000000,0.829250,0.002090
1757175980.087,47.572058,5258.632302,38400,1.000000,0.827042,0.002704
1757175980.187,58.982831,10856.767893,38400,1.000000,0.831689,0.002185
1757175980.287,86.932707,23667.838573,38400,1.000000,0.828423,0.002180
1757175980.387,47.081873,4564.190805,38400,1.000000,0.827633,0.002352
1757175980.487,59.452873,10881.047249,38400,1.000000,0.826066,0.002438
1757175980.587,51.205635,5335.027575,38400,1.000000,0.828931,0.002172
1757175980.687,48.222616,5368.635058,38400,1.000000,0.825893,0.001885
1757175980.787,48.218867,5617.659092,38400,1.000000,0.825546,0.002299
1757175980.887,46.463120,4661.327600,38400,1.000000,0.833183,0.001858
1757175980.987,49.118933,7138.584852,38400,1.000000,0.828676,0.002069
1757175981.087,54.031664,9098.682404,38400,1.000000,0.828652,0.001849
1757175981.187,70.181221,14604.215622,38400,1.000000,0.825913,0.002532
1757175981.287,57.445163,11432.641745,38400,1.000000,0.823051,0.002655
1757175981.387,43.793544,3479.213119,38400,1.000000,0.822111,0.002510
1757175981.487,42.743036,3763.987422,38400,1.000000,0.818874,0.002658
1757175981.587,101.848102,33164.694309,38400,1.000000,0.825287,0.002308
1757175981.687,41.909590,3305.678368,38400,1.000000,0.821199,0.002478
1757175981.787,44.273940,3619.586825,38400,1.000000,0.818240,0.002518
1757175981.887,45.562312,4364.158213,38400,1.000000,0.821754,0.001894
1757175981.987,47.019362,5444.270968,38400,1.000000,0.817152,0.002735
1757175982.087,47.052953,4799.920022,38400,1.000000,0.819560,0.003046
1757175982.187,48.689163,5417.991281,38400,1.000000,0.823377,0.002910
1757175982.287,52.630711,8269.143701,38400,1.000000,0.823304,0.002689
1757175982.387,117.381370,37266.194820,38400,1.000000,0.818140,0.003055
1757175982.487,65.306538,7583.484054,38400,1.000000,0.828120,0.001894
1757175982.587,72.708702,14220.879078,38400,1.000000,0.824484,0.002550
1757175982.687,52.455157,6750.718951,38400,1.000000,0.821726,0.002527
1757175982.787,65.711313,14116.311073,38400,1.000000,0.825077,0.002344
1757175982.887,130.209708,38929.166794,38400,1.000000,0.823323,0.002644
1757175982.987,51.369303,6934.584379,38400,1.000000,0.827116,0.002294
1757175983.087,44.143993,3845.663071,38400,1.000000,0.822834,0.002056
1757175983.187,53.097552,7964.569330,38400,1.000000,0.822264,0.002195
1757175983.287,45.495799,4253.277481,38400,1.000000,0.830888,0.001936
1757175983.387,60.394037,9883.180857,38400,1.000000,0.824120,0.002347
1757175983.487,45.783961,4632.449448,38400,1.000000,0.817912,0.002620
1757175983.587,46.969217,4427.323341,38400,1.000000,0.814799,0.003121
1757175983.687,100.770509,32412.478924,38400,1.000000,0.821382,0.002748
1757175978.687,40.086395,3045.158982,38400,1.000000,0.827942,0.002236
1757175978.787,42.305106,4106.058478,38400,1.000000,0.825710,0.002832
1757175978.887,41.439140,3361.603022,38400,1.000000,0.822599,0.002806
1757175978.987,40.664133,3102.168739,38400,1.000000,0.824708,0.002478
1757175979.087,46.771616,4525.755942,38400,1.000000,0.819378,0.002504
1757175979.187,45.092916,4379.384220,38400,1.000000,0.822588,0.002191
1757175979.287,53.559613,7572.015524,38400,1.000000,0.817870,0.002061
1757175979.387,57.682657,6513.191462,38400,1.000000,0.825639,0.001960
