stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175513.020,35.920963,2372.601628,38400,1.000000,0.830241,0.002015
1757175513.020,35.920963,2372.601628,38400,1.000000,0.830241,0.002015
1757175513.120,35.954681,2805.123925,38400,1.000000,0.831657,0.002450
1757175513.220,33.676332,2126.907259,38400,1.000000,0.823061,0.002527
1757175513.320,35.132080,2421.218306,38400,1.000000,0.821686,0.002340
1757175513.420,37.242481,3063.112497,38400,1.000000,0.824211,0.002095
1757175513.520,34.590134,2289.122790,38400,1.000000,0.815166,0.002438
1757175513.620,37.607852,3098.221719,38400,1.000000,0.812163,0.002767
1757175513.720,29.936627,2324.856520,38400,1.000000,0.817626,0.002414
1757175513.820,39.259624,2818.727791,38400,1.000000,0.819351,0.002439
1757175513.920,39.245877,2962.947488,38400,1.000000,0.818368,0.002455
1757175514.020,35.473779,2232.984900,38400,1.000000,0.816741,0.002027
1757175514.120,36.048827,2840.703726,38400,1.000000,0.815466,0.002407
1757175514.220,31.999961,1973.755211,38400,1.000000,0.817616,0.002337
1757175514.320,37.612137,2396.359444,38400,1.000000,0.815121,0.002264
1757175514.420,37.197113,2586.508393,38400,1.000000,0.815710,0.002955
1757175514.520,37.933668,2572.257519,38400,1.000000,0.818296,0.002603
1757175514.620,36.066505,2577.627003,38400,1.000000,0.820440,0.002560
1757175514.720,39.058322,2815.909982,38400,1.000000,0.817467,0.002810
1757175514.820,35.856372,2250.641137,38400,1.000000,0.825605,0.002347
1757175514.920,40.328103,3208.835423,38400,1.000000,0.820656,0.002387
1757175515.020,39.103389,2800.872028,38400,1.000000,0.821505,0.002388
1757175515.120,39.549789,2783.930600,38400,1.000000,0.824123,0.002369
1757175515.220,37.109691,2551.596761,38400,1.000000,0.830747,0.001913
1757175515.320,34.401917,2155.889422,38400,1.000000,0.829710,0.001822
1757175515.420,39.035681,2981.284559,38400,1.000000,0.825596,0.001941
1757175515.520,41.653752,3470.275998,38400,1.000000,0.823703,0.002471
1757175515.620,37.817478,2713.255584,38400,1.000000,0.820138,0.003015
1757175515.720,34.560531,2437.694222,38400,1.000000,0.821954,0.002572
1757175515.820,33.667210,2446.508855,38400,1.000000,0.810673,0.003973
1757175515.920,30.890018,1926.725060,38400,1.000000,0.816962,0.003301
1757175516.020,32.097566,2141.093165,38400,1.000000,0.809740,0.004111
1757175516.120,35.626072,2329.794616,38400,1.000000,0.819016,0.002512
1757175516.220,36.768413,2778.351307,38400,1.000000,0.817988,0.001949
1757175516.320,39.457661,3548.520803,38400,1.000000,0.824265,0.001909
1757175516.420,37.078404,2924.970388,38400,1.000000,0.822604,0.001845
1757175516.520,33.948228,2145.979553,38400,1.000000,0.822973,0.001954
1757175516.620,41.999340,4652.005136,38400,1.000000,0.824020,0.001962
1757175516.720,46.106014,5334.827900,38400,1.000000,0.821664,0.002132
1757175516.820,60.092032,6181.607246,38400,1.000000,0.822164,0.002640
1757175516.920,40.229076,3344.929814,38400,1.000000,0.821866,0.002498
1757175517.020,40.090716,3477.073312,38400,1.000000,0.809759,0.003465
1757175517.120,44.409603,4968.357384,38400,1.000000,0.812188,0.004282
1757175517.220,39.455530,3480.930030,38400,1.000000,0.812019,0.003706
1757175517.320,38.442892,3179.177642,38400,1.000000,0.814537,0.003132
1757175517.420,42.278266,4096.277952,38400,1.000000,0.815061,0.002891
1757175517.520,37.903854,2516.849637,38400,1.000000,0.816607,0.003001
1757175517.620,40.256435,3569.224775,38400,1.000000,0.820206,0.002857
1757175517.720,37.918860,2587.323189,38400,1.000000,0.814035,0.003339
1757175517.820,40.837380,4145.630598,38400,1.000000,0.817205,0.003273
1757175517.920,44.471619,5308.975577,38400,1.000000,0.811877,0.004384
1757175518.020,39.990434,3200.902641,38400,1.000000,0.820224,0.002453
1757175513.020,35.920963,2372.601628,38400,1.000000,0.830241,0.002015
1757175513.120,35.954681,2805.123925,38400,1.000000,0.831657,0.002450
1757175513.220,33.676332,2126.907259,38400,1.000000,0.823061,0.002527
1757175513.320,35.132080,2421.218306,38400,1.000000,0.821686,0.002340
1757175513.420,37.242481,3063.112497,38400,1.000000,0.824211,0.002095
1757175513.520,34.590134,2289.122790,38400,1.000000,0.815166,0.002438
1757175513.620,37.607852,3098.221719,38400,1.000000,0.812163,0.002767
1757175513.720,29.936627,2324.856520,38400,1.000000,0.817626,0.002414
1757175513.820,39.259624,2818.727791,38400,1.000000,0.819351,0.002439
