stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175446.371,34.509474,2208.023816,38400,1.000000,0.825785,0.001864
1757175446.371,34.509474,2208.023816,38400,1.000000,0.825785,0.001864
1757175446.471,36.027101,2416.358739,38400,1.000000,0.830088,0.001812
1757175446.571,37.001890,2509.781718,38400,1.000000,0.828523,0.002456
1757175446.671,36.686754,2320.569903,38400,1.000000,0.825327,0.002331
1757175446.771,32.621470,1966.274083,38400,1.000000,0.822048,0.002328
1757175446.871,38.554442,3367.353380,38400,1.000000,0.823533,0.002182
1757175446.971,38.731655,3180.803061,38400,1.000000,0.815818,0.002585
1757175447.071,31.699485,2165.256739,38400,1.000000,0.812108,0.002708
1757175447.171,29.639187,1836.499125,38400,1.000000,0.819178,0.002442
1757175447.271,30.307236,1915.540993,38400,1.000000,0.820821,0.002536
1757175447.371,34.753823,2314.422280,38400,1.000000,0.820552,0.002534
1757175447.471,31.276000,1761.198640,38400,1.000000,0.818410,0.002396
1757175447.571,36.567590,3014.752865,38400,1.000000,0.817123,0.002216
1757175447.671,29.589894,1676.276028,38400,1.000000,0.817547,0.002284
1757175447.771,28.403547,1659.068763,38400,1.000000,0.816443,0.002550
1757175447.871,36.351770,2463.689893,38400,1.000000,0.817759,0.002992
1757175447.971,35.831892,2179.480791,38400,1.000000,0.816715,0.002902
1757175448.071,36.433449,2128.318250,38400,1.000000,0.820258,0.002775
1757175448.171,36.302978,2225.216627,38400,1.000000,0.821481,0.002701
1757175448.271,37.183544,2341.975868,38400,1.000000,0.824842,0.002391
1757175448.371,55.163789,7412.975430,38400,1.000000,0.823391,0.002157
1757175448.471,36.791727,2517.777383,38400,1.000000,0.824227,0.002013
1757175448.571,40.087673,3123.622537,38400,1.000000,0.828211,0.002160
1757175448.671,37.051347,2480.856031,38400,1.000000,0.833672,0.001916
1757175448.771,35.150570,2373.784333,38400,1.000000,0.833319,0.001679
1757175448.871,35.086051,2282.024920,38400,1.000000,0.826024,0.002124
1757175448.971,41.647923,3481.720388,38400,1.000000,0.825407,0.002374
1757175449.071,39.778939,2771.634459,38400,1.000000,0.819718,0.002784
1757175449.171,36.517754,2730.039954,38400,1.000000,0.821897,0.002556
1757175449.271,30.804670,1920.692176,38400,1.000000,0.814374,0.003324
1757175449.371,36.177313,2379.062921,38400,1.000000,0.817365,0.002886
1757175449.471,30.827951,2046.941519,38400,1.000000,0.817647,0.002992
1757175449.571,35.620406,2249.907404,38400,1.000000,0.818927,0.002639
1757175449.671,35.529041,2391.618341,38400,1.000000,0.817228,0.002210
1757175449.771,40.777162,3750.303686,38400,1.000000,0.822788,0.002079
1757175449.871,50.353986,5740.775466,38400,1.000000,0.821911,0.001869
1757175449.971,66.861910,9503.397346,38400,1.000000,0.820265,0.002029
1757175450.071,40.918076,4096.954465,38400,1.000000,0.821698,0.002243
1757175450.171,63.323379,7475.801706,38400,1.000000,0.820450,0.002381
1757175450.271,52.734977,4319.037795,38400,1.000000,0.824855,0.002193
1757175450.371,36.729649,2486.969829,38400,1.000000,0.825338,0.002463
1757175450.471,36.194026,2364.353389,38400,1.000000,0.815846,0.003271
