stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175646.128,38.223624,2643.047273,38400,1.000000,0.829249,0.001990
1757175646.128,38.223624,2643.047273,38400,1.000000,0.829249,0.001990
1757175646.228,37.746689,2630.203068,38400,1.000000,0.827080,0.002377
1757175646.328,38.512695,3023.023307,38400,1.000000,0.827186,0.002149
1757175646.428,40.928403,2673.381567,38400,1.000000,0.822854,0.002338
1757175646.528,40.639943,3520.407379,38400,1.000000,0.821218,0.001969
1757175646.628,40.916485,3996.919096,38400,1.000000,0.816413,0.002285
1757175646.728,32.681763,2508.520782,38400,1.000000,0.810679,0.003053
1757175646.828,38.889199,3289.968967,38400,1.000000,0.823702,0.002043
1757175646.928,36.790517,2629.194260,38400,1.000000,0.822035,0.002156
1757175647.028,39.898223,3085.166812,38400,1.000000,0.822695,0.002172
1757175647.128,46.689442,4288.223386,38400,1.000000,0.822305,0.001814
1757175647.228,39.763752,3616.503775,38400,1.000000,0.820413,0.002095
1757175647.328,35.682401,2434.636950,38400,1.000000,0.817161,0.002220
1757175647.428,38.836548,2750.652432,38400,1.000000,0.818106,0.002549
1757175647.528,39.405733,3157.364130,38400,1.000000,0.821024,0.002744
1757175647.628,39.867792,3165.952861,38400,1.000000,0.822177,0.002129
1757175647.728,37.806991,2682.621777,38400,1.000000,0.824219,0.002187
1757175647.828,40.266877,3209.282458,38400,1.000000,0.819335,0.002730
1757175647.928,45.172578,4132.351279,38400,1.000000,0.824212,0.002402
1757175648.028,50.632113,5925.019979,38400,1.000000,0.824413,0.002591
1757175648.128,42.458752,3718.480766,38400,1.000000,0.818600,0.002278
1757175648.228,41.669524,3318.036795,38400,1.000000,0.821141,0.002543
1757175648.328,39.959121,3160.186410,38400,1.000000,0.829247,0.002046
1757175648.428,41.747749,3403.326571,38400,1.000000,0.826251,0.002093
1757175648.528,41.325232,3289.629221,38400,1.000000,0.823631,0.002178
1757175648.628,42.868987,3850.685060,38400,1.000000,0.823196,0.001972
1757175648.728,48.654276,7641.013861,38400,1.000000,0.821234,0.002108
1757175648.828,40.821385,3197.503686,38400,1.000000,0.823265,0.002145
1757175648.928,38.278142,2849.741876,38400,1.000000,0.818279,0.002388
1757175649.028,38.346455,2881.934047,38400,1.000000,0.818464,0.002537
1757175649.128,37.666458,2720.808983,38400,1.000000,0.811574,0.003044
1757175649.228,39.573389,2900.711894,38400,1.000000,0.818882,0.002588
1757175649.328,38.100460,2614.448071,38400,1.000000,0.816706,0.002398
1757175649.428,43.461055,4747.025669,38400,1.000000,0.818080,0.002590
1757175649.528,44.222626,4931.303859,38400,1.000000,0.820404,0.002447
1757175649.628,44.137400,4989.617467,38400,1.000000,0.824330,0.001914
1757175649.728,43.488231,4523.375034,38400,1.000000,0.823472,0.001838
1757175649.828,44.932714,4824.428856,38400,1.000000,0.820647,0.001882
1757175649.928,60.040790,5997.982025,38400,1.000000,0.816782,0.003212
1757175650.028,67.254621,8695.471287,38400,1.000000,0.816822,0.002399
1757175650.128,42.905512,3954.624832,38400,1.000000,0.814589,0.002715
1757175650.228,42.972040,3999.511003,38400,1.000000,0.812315,0.003482
1757175650.328,73.623711,10789.873600,38400,1.000000,0.809455,0.003513
1757175650.428,42.740646,3975.224793,38400,1.000000,0.818619,0.003166
1757175650.528,43.216518,4462.515116,38400,1.000000,0.817422,0.003270
1757175650.628,43.213120,4468.001425,38400,1.000000,0.814449,0.003169
1757175650.728,42.001861,3933.588564,38400,1.000000,0.822920,0.002733
1757175650.828,43.889782,4571.518600,38400,1.000000,0.813829,0.003003
1757175650.928,41.964859,3892.337084,38400,1.000000,0.817655,0.003190
1757175651.028,42.805603,4328.577816,38400,1.000000,0.815468,0.003163
1757175651.128,43.671757,4800.795615,38400,1.000000,0.815534,0.002787
1757175646.128,38.223624,2643.047273,38400,1.000000,0.829249,0.001990
1757175646.228,37.746689,2630.203068,38400,1.000000,0.827080,0.002377
1757175646.328,38.512695,3023.023307,38400,1.000000,0.827186,0.002149
