stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175579.598,35.622332,2223.958522,38400,1.000000,0.830562,0.001807
1757175579.598,35.622332,2223.958522,38400,1.000000,0.830562,0.001807
1757175579.698,34.036011,2541.286349,38400,1.000000,0.828144,0.002587
1757175579.798,38.616422,2678.559124,38400,1.000000,0.822958,0.002476
1757175579.898,36.128289,2221.182287,38400,1.000000,0.819245,0.002521
1757175579.998,38.851365,3108.022511,38400,1.000000,0.823957,0.001946
1757175580.098,39.743456,3616.427779,38400,1.000000,0.812939,0.002333
1757175580.198,38.590595,3433.400095,38400,1.000000,0.814544,0.002770
1757175580.298,36.440337,2676.416337,38400,1.000000,0.820392,0.002015
1757175580.398,35.932964,2387.214899,38400,1.000000,0.816041,0.002353
1757175580.498,39.800879,2997.579575,38400,1.000000,0.819111,0.002263
1757175580.598,39.070508,3018.735647,38400,1.000000,0.821219,0.001611
1757175580.698,38.310078,3080.401421,38400,1.000000,0.815997,0.002294
1757175580.798,41.260988,3658.379614,38400,1.000000,0.820900,0.001886
1757175580.898,38.465756,2611.094713,38400,1.000000,0.816964,0.002390
1757175580.998,38.090995,2901.410162,38400,1.000000,0.817601,0.003135
1757175581.098,36.823383,2396.390736,38400,1.000000,0.817883,0.002776
1757175581.198,38.065431,2682.609558,38400,1.000000,0.821119,0.002589
1757175581.298,38.205475,2675.909698,38400,1.000000,0.820621,0.002885
1757175581.398,41.263068,3214.485049,38400,1.000000,0.824559,0.002278
1757175581.498,42.724767,3315.684795,38400,1.000000,0.822482,0.002263
1757175581.598,38.756362,2867.387831,38400,1.000000,0.822037,0.002226
1757175581.698,39.588037,2984.352112,38400,1.000000,0.823151,0.002243
1757175581.798,39.334652,3138.992190,38400,1.000000,0.831138,0.001918
1757175581.898,38.641295,2887.389660,38400,1.000000,0.831759,0.001737
1757175581.998,38.408932,2936.514020,38400,1.000000,0.826927,0.001932
1757175582.098,40.040562,3312.491179,38400,1.000000,0.823985,0.002148
1757175582.198,41.206214,3724.542856,38400,1.000000,0.821491,0.002217
1757175582.298,38.745588,3094.666302,38400,1.000000,0.821913,0.002289
1757175582.398,36.548796,2433.838695,38400,1.000000,0.814702,0.002738
1757175582.498,32.766458,2489.759773,38400,1.000000,0.817523,0.002786
1757175582.598,37.157029,2794.269323,38400,1.000000,0.814241,0.003586
1757175582.698,38.894367,3075.865805,38400,1.000000,0.817476,0.002753
1757175582.798,32.092732,1821.703464,38400,1.000000,0.819885,0.001894
1757175582.898,39.761591,3363.088071,38400,1.000000,0.824015,0.001622
1757175582.998,41.542658,4252.130389,38400,1.000000,0.826293,0.001623
1757175583.098,42.006552,4249.533117,38400,1.000000,0.825610,0.001717
1757175583.198,41.302511,4034.938216,38400,1.000000,0.826367,0.001546
1757175583.298,41.732329,4086.004198,38400,1.000000,0.825882,0.001696
1757175583.398,56.823361,4801.149368,38400,1.000000,0.823695,0.002266
1757175583.498,69.811440,9699.630737,38400,1.000000,0.819959,0.002311
1757175583.598,97.026390,28925.213814,38400,1.000000,0.805956,0.003866
1757175583.698,42.078236,2978.571057,38400,1.000000,0.813818,0.003054
1757175583.798,39.057922,3107.101023,38400,1.000000,0.814112,0.003184
1757175583.898,39.094302,3367.253542,38400,1.000000,0.817717,0.002820
1757175583.998,40.699187,3817.861974,38400,1.000000,0.817486,0.002904
1757175584.098,40.491062,3256.019950,38400,1.000000,0.818818,0.002488
1757175584.198,41.821739,4411.994815,38400,1.000000,0.828284,0.002403
1757175584.298,41.503623,4033.179581,38400,1.000000,0.818015,0.003016
1757175584.398,37.527266,2642.270327,38400,1.000000,0.819379,0.002702
1757175584.498,40.021366,3330.974877,38400,1.000000,0.816313,0.003779
1757175584.598,40.170309,3498.447239,38400,1.000000,0.822305,0.002329
1757175579.598,35.622332,2223.958522,38400,1.000000,0.830562,0.001807
