stamp,mean_abs_err_cm,var_abs_err_cm2,count,density,conf_mean,conf_var
1757175912.276,41.773939,3634.989560,38400,1.000000,0.826760,0.002723
1757175912.276,41.773939,3634.989560,38400,1.000000,0.826760,0.002723
1757175912.376,42.477652,3671.300113,38400,1.000000,0.824991,0.002324
1757175912.476,39.448422,2743.689418,38400,1.000000,0.823196,0.002477
1757175912.576,42.887741,3834.041059,38400,1.000000,0.822421,0.002454
1757175912.676,42.917374,4029.275477,38400,1.000000,0.821417,0.002235
1757175912.776,45.716792,4377.181530,38400,1.000000,0.816539,0.002271
1757175912.876,40.015090,3041.725457,38400,1.000000,0.821709,0.002266
1757175912.976,48.351210,5736.430883,38400,1.000000,0.827658,0.002150
1757175913.076,91.496330,28539.254665,38400,1.000000,0.824103,0.002331
1757175913.176,81.091720,20556.473732,38400,1.000000,0.823218,0.002225
1757175913.276,83.913589,23071.975708,38400,1.000000,0.824186,0.002679
1757175913.376,40.741026,3499.401212,38400,1.000000,0.819061,0.002487
1757175913.476,92.139035,29744.088650,38400,1.000000,0.823165,0.002437
1757175913.576,44.814947,4192.407727,38400,1.000000,0.822429,0.002744
1757175913.676,88.979703,26925.370693,38400,1.000000,0.825366,0.002204
1757175913.776,63.420689,12829.022408,38400,1.000000,0.826686,0.002173
1757175913.876,108.306658,42182.173729,38400,1.000000,0.823709,0.002306
1757175913.976,52.801985,8267.591000,38400,1.000000,0.821690,0.003179
1757175914.076,50.131488,5113.102794,38400,1.000000,0.826261,0.002275
1757175914.176,45.386270,4370.847940,38400,1.000000,0.824571,0.002059
1757175914.276,37.668321,2573.836148,38400,1.000000,0.823637,0.002700
1757175914.376,42.740574,3926.822841,38400,1.000000,0.831154,0.002019
1757175914.476,42.640001,4030.056894,38400,1.000000,0.830837,0.002000
1757175914.576,45.733932,4684.914649,38400,1.000000,0.826873,0.002409
1757175914.676,51.561487,6872.477531,38400,1.000000,0.826034,0.002686
1757175914.776,76.235104,15927.008390,38400,1.000000,0.823937,0.002761
1757175914.876,41.197541,3216.557801,38400,1.000000,0.823310,0.002595
1757175914.976,44.144604,4515.265524,38400,1.000000,0.818556,0.002889
1757175915.076,88.603985,25937.333107,38400,1.000000,0.824232,0.002618
1757175915.176,37.810996,2584.895194,38400,1.000000,0.818988,0.002819
1757175915.276,37.288827,2556.891441,38400,1.000000,0.821484,0.002413
1757175915.376,37.812895,2706.091106,38400,1.000000,0.822511,0.002062
1757175915.476,46.638289,4765.644968,38400,1.000000,0.818937,0.002996
1757175915.576,48.331422,5701.062679,38400,1.000000,0.819590,0.003305
1757175915.676,47.725931,6451.892853,38400,1.000000,0.819747,0.002954
1757175915.776,52.592444,10287.500620,38400,1.000000,0.822124,0.003029
1757175915.876,65.265381,13685.435057,38400,1.000000,0.819764,0.003088
1757175915.976,65.182227,7891.016603,38400,1.000000,0.826110,0.002269
1757175916.076,43.504465,3571.019769,38400,1.000000,0.827662,0.001759
1757175916.176,47.021627,4892.770350,38400,1.000000,0.822775,0.002484
1757175916.276,44.488692,3916.254044,38400,1.000000,0.823851,0.002136
1757175916.376,117.418242,31656.403542,38400,1.000000,0.822396,0.002903
1757175916.476,43.800986,4328.311086,38400,1.000000,0.826477,0.002209
1757175916.576,44.716048,4572.029114,38400,1.000000,0.823320,0.002239
1757175916.676,45.771977,4844.168127,38400,1.000000,0.822578,0.002274
1757175916.776,41.690293,3501.073122,38400,1.000000,0.828685,0.002226
1757175916.876,50.004333,7700.458169,38400,1.000000,0.826797,0.002222
1757175916.976,43.612540,4369.822145,38400,1.000000,0.826568,0.002206
1757175917.076,46.485636,4758.392274,38400,1.000000,0.824520,0.002460
1757175917.176,63.992369,10000.058413,38400,1.000000,0.825786,0.002176
1757175917.276,51.391852,6096.231937,38400,1.000000,0.829140,0.002433
1757175912.276,41.773939,3634.989560,38400,1.000000,0.826760,0.002723
1757175912.376,42.477652,3671.300113,38400,1.000000,0.824991,0.002324
1757175912.476,39.448422,2743.689418,38400,1.000000,0.823196,0.002477
1757175912.576,42.887741,3834.041059,38400,1.000000,0.822421,0.002454
1757175912.676,42.917374,4029.275477,38400,1.000000,0.821417,0.002235
1757175912.776,45.716792,4377.181530,38400,1.000000,0.816539,0.002271
1757175912.876,40.015090,3041.725457,38400,1.000000,0.821709,0.002266
1757175912.976,48.351210,5736.430883,38400,1.000000,0.827658,0.002150
1757175913.076,91.496330,28539.254665,38400,1.000000,0.824103,0.002331
1757175913.176,81.091720,20556.473732,38400,1.000000,0.823218,0.002225
1757175913.276,83.913589,23071.975708,38400,1.000000,0.824186,0.002679
1757175913.376,40.741026,3499.401212,38400,1.000000,0.819061,0.002487
1757175913.476,92.139035,29744.088650,38400,1.000000,0.823165,0.002437
1757175913.576,44.814947,4192.407727,38400,1.000000,0.822429,0.002744
1757175913.676,88.979703,26925.370693,38400,1.000000,0.825366,0.002204
1757175913.776,63.420689,12829.022408,38400,1.000000,0.826686,0.002173
1757175913.876,108.306658,42182.173729,38400,1.000000,0.823709,0.002306
1757175913.976,52.801985,8267.591000,38400,1.000000,0.821690,0.003179
1757175914.076,50.131488,5113.102794,38400,1.000000,0.826261,0.002275
1757175914.176,45.386270,4370.847940,38400,1.000000,0.824571,0.002059
1757175914.276,37.668321,2573.836148,38400,1.000000,0.823637,0.002700
1757175914.376,42.740574,3926.822841,38400,1.000000,0.831154,0.002019
1757175914.476,42.640001,4030.056894,38400,1.000000,0.830837,0.002000
1757175914.576,45.733932,4684.914649,38400,1.000000,0.826873,0.002409
1757175914.676,51.561487,6872.477531,38400,1.000000,0.826034,0.002686
1757175914.776,76.235104,15927.008390,38400,1.000000,0.823937,0.002761
1757175914.876,41.197541,3216.557801,38400,1.000000,0.823310,0.002595
1757175914.976,44.144604,4515.265524,38400,1.000000,0.818556,0.002889
1757175915.076,88.603985,25937.333107,38400,1.000000,0.824232,0.002618
1757175915.176,37.810996,2584.895194,38400,1.000000,0.818988,0.002819
1757175915.276,37.288827,2556.891441,38400,1.000000,0.821484,0.002413
1757175915.376,37.812895,2706.091106,38400,1.000000,0.822511,0.002062
1757175915.476,46.638289,4765.644968,38400,1.000000,0.818937,0.002996
1757175915.576,48.331422,5701.062679,38400,1.000000,0.819590,0.003305
1757175915.676,47.725931,6451.892853,38400,1.000000,0.819747,0.002954
1757175915.776,52.592444,10287.500620,38400,1.000000,0.822124,0.003029
1757175915.876,65.265381,13685.435057,38400,1.000000,0.819764,0.003088
1757175915.976,65.182227,7891.016603,38400,1.000000,0.826110,0.002269
1757175916.076,43.504465,3571.019769,38400,1.000000,0.827662,0.001759
1757175916.176,47.021627,4892.770350,38400,1.000000,0.822775,0.002484
1757175916.276,44.488692,3916.254044,38400,1.000000,0.823851,0.002136
1757175916.376,117.418242,31656.403542,38400,1.000000,0.822396,0.002903
1757175916.476,43.800986,4328.311086,38400,1.000000,0.826477,0.002209
1757175916.576,44.716048,4572.029114,38400,1.000000,0.823320,0.002239
1757175916.676,45.771977,4844.168127,38400,1.000000,0.822578,0.002274
1757175916.776,41.690293,3501.073122,38400,1.000000,0.828685,0.002226
1757175916.876,50.004333,7700.458169,38400,1.000000,0.826797,0.002222
1757175916.976,43.612540,4369.822145,38400,1.000000,0.826568,0.002206
1757175917.076,46.485636,4758.392274,38400,1.000000,0.824520,0.002460
1757175917.176,63.992369,10000.058413,38400,1.000000,0.825786,0.002176
1757175917.276,51.391852,6096.231937,38400,1.000000,0.829140,0.002433
1757175917.376,51.585805,8606.432080,38400,1.000000,0.827757,0.002808
1757175917.476,70.069319,12704.234123,38400,1.000000,0.827731,0.002854
1757175917.576,46.717376,4730.840027,38400,1.000000,0.824774,0.002719
1757175917.676,34.258544,2041.183114,38400,1.000000,0.824554,0.002823
1757175917.776,47.447017,5694.467425,38400,1.000000,0.815072,0.003098
1757175917.876,58.645469,8139.687181,38400,1.000000,0.816510,0.003061
1757175917.976,54.887164,9770.301580,38400,1.000000,0.819464,0.002811
1757175918.076,55.146736,9612.306952,38400,1.000000,0.821896,0.002673
1757175918.176,57.646906,10661.137104,38400,1.000000,0.821231,0.002433
